"country","hhid","grappe","menage","vague","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","year","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"BEN",1005,1,5,2,2,0,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,5.99999997019768,2,14,0,0,6,1,1,0,0,0,0
"BEN",1019,1,19,2,3,1,1,1,0,0,0,0,1,0,1,1,0,2021,0,0,0,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0
"BEN",1031,1,31,2,2,1,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,3.99293610453606,0,5,0,0,15,0,0,0,0,0,0
"BEN",1032,1,32,2,1,1,1,1,0,0,0,0,1,0,0,0,0,2021,1,1,0,0,0,1,0,2.04999995231628,0,0,0,0,8,1,0,1,0,0,0
"BEN",1046,1,46,2,2,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,1.57351672649384,0,10,0,0,5,1,0,1,0,0,0
"BEN",1053,1,53,2,2,1,1,1,1,1,0,0,1,1,0,0,0,2021,1,0,0,0,0,0,0,5.99101996421814,3,0,0,0,0,1,0,0,1,0,0
"BEN",1060,1,60,2,3,0,1,1,0,0,0,0,1,0,0,0,0,2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0
"BEN",1073,1,73,2,3,1,1,1,0,0,0,0,0,0,0,0,0,2021,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
"BEN",1080,1,80,2,2,1,1,1,0,0,0,0,1,1,0,0,0,2021,0,0,0,0,0,0,0,1.6348375082016,2,5,0,0,0,0,1,1,0,0,0
"BEN",1087,1,87,2,2,1,1,0,0,0,0,0,0,1,0,0,0,2021,0,0,0,0,0,0,0,1.55100333690643,0,0,0,0,0,1,0,0,0,0,0
