,annee,population_totale_milliers,densite_population_personnes_km2,age_median_ans,taux_fertilite_total,taux_brut_natalite_pour_1000,esperance_vie_ans,mortalite_infantile_pour_1000,taux_croissance_population_pourcentage
0,1950,2250.476,19.958,22.824,5.751,40.894,35.396,209.79,0.717
1,1951,2267.308,20.107,22.485,5.777,41.094,35.695,207.275,0.773
2,1952,2285.775,20.271,22.15,5.829,41.497,35.988,204.802,0.849
3,1953,2306.202,20.452,21.82,5.883,41.921,36.315,202.351,0.93
4,1954,2328.782,20.653,21.501,5.938,42.391,36.666,199.773,1.018
5,1955,2353.646,20.873,21.193,5.993,42.918,36.961,197.051,1.105
6,1956,2380.892,21.115,20.891,6.05,43.47,37.281,194.309,1.196
7,1957,2410.77,21.38,20.596,6.108,44.073,37.64,191.538,1.297
8,1958,2443.434,21.669,20.308,6.166,44.63,38.013,188.725,1.394
9,1959,2478.914,21.984,20.03,6.225,45.198,38.389,185.869,1.489
10,1960,2517.286,22.324,19.771,6.282,45.759,38.775,182.933,1.582
11,1961,2559.223,22.696,19.524,6.402,46.737,39.233,179.943,1.721
12,1962,2604.659,23.099,19.287,6.457,47.113,39.643,176.935,1.798
13,1963,2652.908,23.527,19.068,6.51,47.392,40.081,173.933,1.872
14,1964,2704.003,23.98,18.86,6.565,47.62,40.502,170.958,1.942
15,1965,2757.936,24.458,18.653,6.605,47.73,40.971,168.006,2.007
16,1966,2814.317,24.958,18.434,6.625,47.651,41.274,164.885,2.04
17,1967,2872.997,25.479,18.216,6.643,47.541,41.759,161.831,2.087
18,1968,2934.257,26.022,17.996,6.669,47.48,42.182,158.859,2.133
19,1969,2998.222,26.589,17.771,6.705,47.48,42.591,155.962,2.18
20,1970,3065.057,27.182,17.555,6.735,47.481,43.029,153.142,2.229
21,1971,3134.767,27.8,17.347,6.766,47.463,43.391,150.411,2.268
22,1972,3207.543,28.446,17.152,6.799,47.44,43.928,147.332,2.321
23,1973,3283.496,29.119,16.972,6.809,47.272,44.435,144.436,2.359
24,1974,3362.633,29.821,16.812,6.822,47.181,44.876,141.596,2.403
25,1975,3445.407,30.555,16.67,6.83,47.145,45.405,138.775,2.46
26,1976,3532.196,31.325,16.546,6.83,47.077,45.952,135.921,2.515
27,1977,3623.202,32.132,16.44,6.832,47.033,46.504,133.104,2.572
28,1978,3718.305,32.975,16.356,6.824,46.893,46.941,130.405,2.61
29,1979,3818.528,33.864,16.286,6.905,47.401,47.362,127.827,2.708
30,1980,3925.251,34.811,16.217,6.989,47.92,47.747,125.343,2.803
31,1981,4038.307,35.813,16.147,7.056,48.221,48.122,122.992,2.875
32,1982,4156.596,36.862,16.082,7.055,48.046,48.493,120.759,2.899
