,Annee,PIB_per_capita_PPA,PIB_croissance,CO2_tonnes
0,1990,2292.123,8.976,0.112858506
1,1991,2316.937,4.226,0.117068697
2,1992,2313.465,2.958,0.122934645
3,1993,2341.894,5.836,0.141499192
4,1994,2301.597,2.02,0.153886437
5,1995,2391.036,6.045,0.158152363
6,1996,2431.164,4.324,0.190816685
7,1997,2496.865,5.735,0.191638487
8,1998,2518.039,3.961,0.169178165
9,1999,2548.653,4.358,0.215346665
10,2000,2617.203,5.858,0.21047373
11,2001,2674.974,5.333,0.234205546
12,2002,2716.409,4.643,0.283929173
13,2003,2726.514,3.444,0.312564954
14,2004,2762.409,4.43,0.328530275
15,2005,2721.862,1.713,0.305506442
16,2006,2743.948,3.944,0.398815561
17,2007,2825.773,5.986,0.454568529
18,2008,2878.039,4.897,0.44001725
19,2009,2859.377,2.319,0.460560758
20,2010,2835.377,2.114,0.495399499
21,2011,2835.166,2.964,0.460572176
22,2012,2886.201,4.811,0.439631087
23,2013,3005.332,7.191,0.442925559
24,2014,3104.222,6.358,0.451820112
25,2015,3067.541,1.778,0.48775321
26,2016,3077.843,3.34,0.47390406
27,2017,3157.976,5.672,0.481228451
28,2018,3272.43,6.697,0.474763462
29,2019,3397.584,6.866,0.428153775
30,2020,3429.927,3.849,0.436411162
31,2021,3575.311,7.155,0.443128917
32,2022,3697.611,6.253,0.433794578
33,2023,3829.285,6.353,0.407815222
