,departement,sexe_feminin,sexe_masculin,resid_non,resid_oui,religion_animiste,religion_autre_religion,religion_chretien,religion_musulman,religion_sans_religion,mur_pct,toit_pct,sol_pct,scol_pct,telpor_pct,internet_pct,elec_ac_pct,eauboi_ss_pct,volail_sum,petitrum_sum,grosrum_sum
0,Alibori,48.340308402642485,51.659691597357515,0.5377262670963809,99.46227373290361,0.33487120035476114,,13.108673133566592,86.02863041469278,0.5278252513858606,66.80928052364088,85.60358849719407,62.31395441889213,15.978021625164867,21.86135704098317,5.560559779683848,7.307670094038626,43.32721641701102,15585333.733394716,12129510.154112227,10265765.953435864
1,Atacora,49.93209971768152,50.06790028231848,1.1308950680706753,98.86910493192933,17.06691372502278,0.36052394055878473,47.16089776221416,31.02168594128489,4.389978630919374,66.7755945722862,93.32787873207428,59.12623804045431,22.848478182187087,21.827632996608866,4.119586441124477,9.968350196968323,56.27723357836414,22124489.557400316,7445286.206919778,4195101.532622145
2,Atlantique,52.10735753521804,47.892642464781964,0.46525067237247264,99.53474932762752,12.604175234055266,0.25404759890633116,81.04418144564208,4.545721446582781,1.5518742748135401,76.95242448178215,98.41576783317218,83.83979849564348,32.14740382984553,41.958584193757666,22.013720826134104,41.89719938397526,71.60946669384137,4575730.866049955,562836.8916393179,7905.801418185184
3,Borgou,48.653849428662745,51.346150571337255,2.212332451899944,97.78766754810006,0.45972152506581637,,24.8692133300847,74.31970019069927,0.3513649541502078,89.11887457388256,94.59420052862933,73.24067642545509,21.25785147453882,27.775720550111377,10.286931850854204,25.757443011820904,68.11094885164832,14211107.994965293,7974235.279974578,8754767.988525547
4,Collines,49.984159230243456,50.015840769756544,0.2700850038155461,99.72991499618445,5.710344554216495,0.0600475120523401,74.48424981535433,15.179644427845247,4.565713690531593,67.08294799569956,96.27745841427654,81.40116734057064,33.37484390182844,34.13500716154628,7.5884714558949105,24.484217124910057,86.84869659249053,7954430.440040171,3055817.029709786,4514167.617766431
5,Couffo,55.05612254223341,44.94387745776659,0.35231024301868086,99.64768975698132,48.97382290861332,0.24885193961933452,48.550035914477256,0.21936896559729718,2.0079202716927975,52.876446174181844,98.15207492764856,60.07721109733344,26.901672960720642,28.168571780479674,6.9755849677781425,17.435423000783178,76.67909123791527,10420744.403221149,3241062.0992408283,0.0
6,Donga,50.569243811746496,49.43075618825349,0.3316746772936262,99.66832532270637,1.0761691974844712,,10.202045888901663,88.72178491361386,,95.55401849866882,98.38310452252864,88.26531633821988,29.400620113254146,30.414257221456232,13.18726180034668,23.449248481392658,28.858603495987133,4421111.879991104,2578162.891889191,1915662.1868052816
7,Littoral,53.52249969694448,46.47750030305552,0.6590931774877917,99.34090682251221,3.008325399739312,0.21052937520252188,81.87870588881277,13.714406307156096,1.1880330290892929,94.08372369710779,99.17740161336246,96.83623107866013,36.35947632975077,53.17097325477904,38.357963943720364,77.44970277539225,94.55101957794436,123165.34246746848,23781.668720305424,0.0
8,Mono,52.12974877630121,47.87025122369878,0.855872622171123,99.14412737782888,33.86949260657816,2.0124292476952435,56.81444815717236,2.4399816463994326,4.863648342154812,47.382183753062904,89.63894116299328,63.69543061975796,33.803727143206366,34.23713600758811,10.77298679876139,20.447426025093545,75.86777957845196,3977445.4895290895,806992.0689250962,3828.42251831741
9,Oueme,51.228341075486775,48.77165892451322,0.3439382679988401,99.65606173200118,5.692465584567246,0.2952109544842521,81.21219862462867,12.33582293375559,0.46430190256424286,83.64169320528535,97.16256474901472,83.52070683322091,36.00325202523746,43.7944630881162,22.87520146799433,48.13940259436606,81.32274227246337,3999323.3714297554,867705.9462923504,178072.12864737172
10,Plateau,51.798069904618025,48.201930095381975,0.17193703587819603,99.82806296412181,11.689461635177068,0.3619190223633352,69.90263593150776,17.142299489935453,0.9036839210163858,53.12960690459184,89.47838493427068,63.33491109623309,27.180747571759188,30.303711855016793,10.25022544364185,22.255610129806175,70.6576019577355,7064357.897920691,1641912.030764367,19373.35086547227
11,Zou,51.94048780580272,48.05951219419729,0.1626207625829295,99.83737923741707,20.09916592960792,0.4973173366217441,74.56766560382782,3.489095469403639,1.3467556605388855,73.35705581263879,98.38220292877175,66.36386024428855,29.90284008024994,34.399027428769195,8.396115461811934,20.69110984621397,81.80423704445626,4792571.474076262,995824.8860946547,1906954.181185234
